# TEST CONFIGURATION BEGIN
# File Stream: filename: ch_Z_lagged3.csv  -  n_targets: 1
# [ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10] Pipeline: ArbitratedEnsemble: - ensemble_size: 10 - meta_error_metric: MAPE
# Prequential Evaluator: n_wait: 1 - max_samples: 3000000 - max_time: 10000000 - output_file: ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10.csv - batch_size: 1 - pretrain_size: 10 - task_type: regression - show_plot: False - metrics: ['mean_square_error', 'true_vs_predicted']
# TEST CONFIGURATION END
id,mean_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],current_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],true_value,predicted_value_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10]
323,0.052774,0.131468,-0.964372,-0.601786
324,0.052734,0.040270,-1.095821,-0.895146
325,0.052641,0.023190,-0.806770,-0.959051
326,0.052546,0.022579,-0.636485,-0.786749
327,0.052387,0.001969,-0.591402,-0.635780
328,0.052299,0.024458,-0.495914,-0.652305
329,0.052136,0.000120,-0.510428,-0.499461
330,0.052014,0.012956,-0.405505,-0.519330
331,0.051983,0.042001,-0.222225,-0.427166
332,0.051839,0.005336,-0.088320,-0.161370
333,0.051750,0.023033,0.094045,-0.057720
334,0.051601,0.003506,0.116757,0.057549
335,0.051524,0.026459,0.020267,0.182929
336,0.051394,0.008963,0.085422,-0.009250
337,0.051409,0.056249,0.306189,0.069021
338,0.051560,0.101208,0.563473,0.245341
339,0.051677,0.090005,0.757959,0.457951
340,0.051569,0.016153,0.711632,0.584537
341,0.051421,0.002367,0.552130,0.600784
342,0.051400,0.044364,0.747134,0.536507
343,0.051648,0.134138,0.986791,0.620543
344,0.051541,0.015726,0.947025,0.821622
345,0.051516,0.043473,1.134887,0.926385
346,0.051485,0.040993,1.259265,1.056798
347,0.051348,0.004982,1.046404,1.116990
348,0.051349,0.051757,1.235828,1.008326
349,0.051617,0.142585,1.463021,1.085417
350,0.051497,0.010668,1.118173,1.221459
351,0.051394,0.016049,0.964634,1.091318
352,0.051266,0.007586,1.041286,0.954186
353,0.051181,0.022037,0.846597,0.995047
354,0.051145,0.038780,0.680351,0.877278
355,0.051426,0.148296,0.433262,0.818353
356,0.051702,0.147472,0.143815,0.527836
357,0.051600,0.015966,0.122815,0.249172
358,0.051579,0.044411,-0.044124,0.166614
359,0.051625,0.067576,-0.269358,-0.009404
360,0.051757,0.098160,-0.501176,-0.187871
361,0.052543,0.328442,-0.966022,-0.392923
362,0.052456,0.021626,-0.915083,-0.768025
363,0.052521,0.075422,-0.496333,-0.770964
364,0.052377,0.001562,-0.494795,-0.455273
365,0.052290,0.021457,-0.403908,-0.550389
366,0.052257,0.040325,-0.180875,-0.381684
367,0.052212,0.036225,-0.298566,-0.108237
368,0.052138,0.025484,-0.454850,-0.295213
369,0.052072,0.028454,-0.547469,-0.378784
370,0.051962,0.012582,-0.516640,-0.404473
371,0.051837,0.006377,-0.298841,-0.378697
372,0.051705,0.003985,-0.341681,-0.278554
373,0.051645,0.029950,-0.459840,-0.286778
374,0.051503,0.000000,-0.418471,-0.418881
375,0.051664,0.110241,-0.705455,-0.373429
376,0.051932,0.150163,-1.047441,-0.659932
377,0.051868,0.028260,-0.947677,-0.779572
378,0.051759,0.011478,-0.745589,-0.852723
379,0.051620,0.000520,-0.619233,-0.642036
380,0.051522,0.015232,-0.484141,-0.607558
381,0.051493,0.040716,-0.356337,-0.558118
382,0.051485,0.048469,-0.146895,-0.367053
383,0.051400,0.019676,0.004901,-0.135369
384,0.051265,0.000819,0.004308,-0.024316
385,0.051131,0.001049,0.081458,0.049077
386,0.050996,0.000255,0.112849,0.096865
387,0.050865,0.001366,0.152267,0.115301
388,0.051045,0.119187,0.455509,0.110275
389,0.050950,0.014963,0.532646,0.410324
390,0.050902,0.032387,0.334547,0.514511
391,0.050769,0.000051,0.288737,0.281579
392,0.050640,0.001721,0.192567,0.234051
393,0.050570,0.023650,0.083841,0.237626
394,0.050490,0.019527,-0.003956,0.135783
395,0.050435,0.029599,-0.180814,-0.008769
396,0.050425,0.046286,0.007349,-0.207794
397,0.050619,0.125791,0.384537,0.029867
398,0.050499,0.003829,0.249223,0.187341
399,0.050819,0.175427,-0.212543,0.206297
400,0.051011,0.125696,-0.533952,-0.179416
401,0.050996,0.045216,-0.642591,-0.429950
402,0.050866,0.000001,-0.509148,-0.509900
403,0.050784,0.018729,-0.275554,-0.412408
404,0.050701,0.017794,-0.191448,-0.324841
405,0.050579,0.002591,-0.209750,-0.158852
406,0.050461,0.003750,-0.267249,-0.206010
407,0.050335,0.000000,-0.301486,-0.301062
408,0.050221,0.005019,-0.218440,-0.289284
409,0.050096,0.000364,-0.264394,-0.245310
410,0.050099,0.051112,-0.474786,-0.248707
411,0.050007,0.013020,-0.505142,-0.391036
412,0.049883,0.000246,-0.409585,-0.425278
413,0.049761,0.000536,-0.374704,-0.351561
414,0.049645,0.002622,-0.239389,-0.290597
415,0.049554,0.012908,-0.059063,-0.172675
416,0.049454,0.008781,-0.108892,-0.015186
417,0.049341,0.003215,-0.198321,-0.141616
418,0.049287,0.027466,-0.099643,-0.265372
419,0.049215,0.019827,0.098568,-0.042241
420,0.049270,0.071564,0.350705,0.083191
421,0.049248,0.040135,0.509909,0.309573
422,0.049129,0.000413,0.497524,0.477198
423,0.049076,0.027180,0.616047,0.451183
424,0.049490,0.220890,0.986085,0.516095
425,0.049516,0.059977,1.087277,0.842375
426,0.049448,0.021430,0.831849,0.978240
427,0.049334,0.001703,0.768114,0.809387
428,0.049216,0.000017,0.780431,0.784550
429,0.049172,0.030617,0.940438,0.765460
430,0.049498,0.186394,1.301053,0.869320
431,0.049381,0.000250,1.178000,1.162186
432,0.049276,0.004977,0.988166,1.058712
433,0.049165,0.001925,1.038084,0.994215
434,0.049178,0.054697,0.717974,0.951849
435,0.049145,0.035152,0.544383,0.731871
436,0.049118,0.037622,0.742275,0.548311
437,0.049016,0.005500,0.634723,0.708888
438,0.048908,0.002926,0.607889,0.553799
439,0.048872,0.033341,0.791024,0.608427
440,0.048988,0.098845,0.471494,0.785891
441,0.049401,0.227457,0.030627,0.507552
442,0.049401,0.049189,-0.016229,0.205558
443,0.049287,0.000013,-0.017099,-0.013448
444,0.049203,0.012856,-0.023104,-0.136487
445,0.049199,0.047490,0.152708,-0.065215
446,0.049110,0.010041,0.240483,0.140280
447,0.049021,0.010343,0.139150,0.240849
448,0.048915,0.002490,0.094935,0.144832
449,0.048894,0.039423,-0.081141,0.117411
450,0.048897,0.050515,-0.311152,-0.086396
451,0.048806,0.008677,-0.369765,-0.276612
452,0.048793,0.042969,-0.484948,-0.277659
453,0.048683,0.000054,-0.447432,-0.454807
454,0.048574,0.000017,-0.388546,-0.384418
455,0.048774,0.137627,-0.665281,-0.294300
456,0.048688,0.010472,-0.781086,-0.678753
457,0.048614,0.015540,-0.757531,-0.632872
458,0.048613,0.048324,-0.989814,-0.769986
459,0.048566,0.027473,-1.103745,-0.937994
460,0.048482,0.010498,-1.044524,-0.942066
461,0.048436,0.027941,-1.148813,-0.981656
462,0.048330,0.000149,-1.086259,-1.074067
463,0.048513,0.131582,-0.633928,-0.996670
464,0.048494,0.039911,-0.436070,-0.635848
465,0.048532,0.065688,-0.733329,-0.477032
466,0.048489,0.028975,-0.936776,-0.766556
467,0.048466,0.037696,-0.980261,-0.786105
468,0.048360,0.000013,-0.913986,-0.910329
469,0.048461,0.094918,-0.564819,-0.872908
470,0.048357,0.000143,-0.484026,-0.495992
471,0.048301,0.022793,-0.679109,-0.528135
472,0.048341,0.066845,-0.483352,-0.741896
473,0.048267,0.013708,-0.258293,-0.375376
474,0.048214,0.023623,-0.478976,-0.325278
475,0.048333,0.103795,-0.830043,-0.507871
476,0.048305,0.035377,-0.878538,-0.690451
477,0.048315,0.053091,-0.521100,-0.751516
478,0.048304,0.043057,-0.287883,-0.495385
479,0.048202,0.000316,-0.380949,-0.363159
480,0.048103,0.001321,-0.374199,-0.410546
481,0.048003,0.001268,-0.432814,-0.397199
482,0.047929,0.012661,-0.586717,-0.474197
483,0.047841,0.006628,-0.510402,-0.591814
484,0.047752,0.005145,-0.270194,-0.341925
485,0.048042,0.185859,0.119333,-0.311780
486,0.048284,0.163442,0.414580,0.010300
487,0.048341,0.075730,0.487841,0.212650
488,0.048274,0.016376,0.558848,0.430881
489,0.048180,0.002849,0.574275,0.520900
490,0.048083,0.001899,0.554786,0.511208
491,0.048060,0.036839,0.314465,0.506400
492,0.048135,0.084194,0.015085,0.305247
493,0.048054,0.008854,0.169616,0.075523
494,0.047987,0.015668,0.204892,0.079720
495,0.047921,0.016014,0.070290,0.196836
496,0.047921,0.047946,0.290463,0.071496
497,0.047920,0.047426,0.449782,0.232008
498,0.047866,0.021281,0.570868,0.424987
499,0.047920,0.074211,0.787525,0.515107
500,0.048002,0.088617,0.925198,0.627512
501,0.048071,0.081932,1.129211,0.842974
502,0.047989,0.007221,1.102661,1.017682
503,0.047892,0.000199,1.000429,1.014528
504,0.048082,0.142128,1.323502,0.946504
505,0.048255,0.134015,1.548119,1.182038
506,0.048492,0.165613,1.658284,1.251328
507,0.048937,0.270150,1.879751,1.359992
508,0.048932,0.046833,1.729802,1.513394
509,0.048839,0.002027,1.538232,1.583255
510,0.048748,0.003488,1.456211,1.515273
511,0.048725,0.037105,1.193917,1.386544
512,0.048628,0.000006,1.185954,1.183552
513,0.048548,0.008490,1.202187,1.110045
514,0.048508,0.027946,0.993129,1.160300
515,0.048421,0.004513,1.023520,1.090698
516,0.048351,0.012868,1.057656,0.944219
517,0.048370,0.057989,0.852654,1.093462
518,0.048585,0.158167,0.422299,0.820001
519,0.049163,0.343238,-0.027239,0.558626
520,0.049133,0.033723,-0.052321,0.131317
521,0.049118,0.041548,-0.228749,-0.024917
522,0.049398,0.192989,-0.696555,-0.257250
523,0.049364,0.031692,-0.776667,-0.598644
524,0.049348,0.041000,-0.809735,-0.607251
525,0.049353,0.052319,-1.083825,-0.855092
526,0.049672,0.214207,-1.450346,-0.987521
527,0.050417,0.435471,-1.825254,-1.165352
528,0.050974,0.339512,-1.967497,-1.384820
529,0.051371,0.257263,-1.964163,-1.456952
530,0.051482,0.109055,-1.931136,-1.600900
531,0.051402,0.010042,-1.829548,-1.729340
532,0.051304,0.000008,-1.766522,-1.769336
533,0.051207,0.000781,-1.800886,-1.772931
534,0.051111,0.000335,-1.804386,-1.786096
535,0.051025,0.006193,-1.699944,-1.778640
536,0.050958,0.015590,-1.620669,-1.745531
537,0.051108,0.130418,-1.331481,-1.692615
538,0.051787,0.410035,-0.854310,-1.494649
539,0.051774,0.045119,-0.751834,-0.964247
540,0.051715,0.020301,-0.639419,-0.781899
541,0.051698,0.042747,-0.315245,-0.521999
542,0.051611,0.005390,-0.381865,-0.308446
543,0.051515,0.000344,-0.393267,-0.374730
544,0.051724,0.163230,-0.004747,-0.408764
